,City,Date,Daily Mean PM2.5 Concentration,State,Local Site Name,0 filters,10 filters,100 filters,1000 filters
0,ElPaso,01/01/2025,17.4,Texas,El Paso Chamizal,17.4,17.266019999999997,16.404719999999998,13.37886
1,ElPaso,01/04/2025,23.5,Texas,El Paso Chamizal,23.5,23.31905,22.1558,18.06915
2,ElPaso,01/07/2025,4.8,Texas,El Paso Chamizal,4.8,4.763039999999999,4.52544,3.69072
3,ElPaso,01/10/2025,3.8,Texas,El Paso Chamizal,3.8,3.7707399999999995,3.5826399999999996,2.92182
4,ElPaso,01/16/2025,3.8,Texas,El Paso Chamizal,3.8,3.7707399999999995,3.5826399999999996,2.92182
5,ElPaso,01/19/2025,8.3,Texas,El Paso Chamizal,8.3,8.23609,7.825240000000001,6.381870000000001
6,ElPaso,01/22/2025,16.1,Texas,El Paso Chamizal,16.1,15.976030000000002,15.17908,12.379290000000001
7,ElPaso,01/25/2025,20.0,Texas,El Paso Chamizal,20.0,19.846,18.855999999999998,15.378
8,ElPaso,01/28/2025,10.2,Texas,El Paso Chamizal,10.2,10.121459999999999,9.61656,7.842779999999999
9,ElPaso,01/31/2025,10.9,Texas,El Paso Chamizal,10.9,10.81607,10.27652,8.38101
10,ElPaso,02/03/2025,10.5,Texas,El Paso Chamizal,10.5,10.41915,9.8994,8.073450000000001
11,ElPaso,02/06/2025,18.8,Texas,El Paso Chamizal,18.8,18.65524,17.72464,14.45532
12,ElPaso,02/09/2025,24.3,Texas,El Paso Chamizal,24.3,24.11289,22.91004,18.68427
13,ElPaso,02/12/2025,24.4,Texas,El Paso Chamizal,24.4,24.21212,23.004319999999996,18.76116
14,ElPaso,02/15/2025,11.3,Texas,El Paso Chamizal,11.3,11.21299,10.653640000000001,8.68857
15,ElPaso,02/18/2025,7.1,Texas,El Paso Chamizal,7.1,7.045329999999999,6.693879999999999,5.4591899999999995
16,ElPaso,02/21/2025,8.0,Texas,El Paso Chamizal,8.0,7.9384,7.5424,6.1512
17,ElPaso,02/24/2025,13.2,Texas,El Paso Chamizal,13.2,13.09836,12.444959999999998,10.14948
18,ElPaso,02/27/2025,21.7,Texas,El Paso Chamizal,21.7,21.532909999999998,20.458759999999998,16.68513
19,ElPaso,03/02/2025,13.5,Texas,El Paso Chamizal,13.5,13.396049999999999,12.7278,10.38015
20,ElPaso,03/05/2025,23.0,Texas,El Paso Chamizal,23.0,22.8229,21.6844,17.6847
21,ElPaso,03/08/2025,2.5,Texas,El Paso Chamizal,2.5,2.48075,2.3569999999999998,1.92225
22,ElPaso,03/11/2025,32.8,Texas,El Paso Chamizal,32.8,32.547439999999995,30.923839999999995,25.21992
23,ElPaso,03/14/2025,23.5,Texas,El Paso Chamizal,23.5,23.31905,22.1558,18.06915
24,ElPaso,03/17/2025,21.3,Texas,El Paso Chamizal,21.3,21.13599,20.08164,16.377570000000002
